77,75,72
50,44,44
50,41,45
92,89,90
33,27,28
41,47,52
46,40,48
34,32,35
97,96,93
93,87,92
55,47,41
42,41,53
69,57,67
48,55,53
78,83,76
34,31,39
44,50,45
63,65,60
86,99,86
61,61,56
59,66,57
91,98,87
74,70,82
94,87,97
87,88,97
40,43,49
97,85,85
83,84,83
55,70,62
67,68,69
78,78,75
63,60,64
54,53,45
66,55,60
51,47,43
57,66,69
54,44,46
90,100,86
89,91,100
68,59,62
55,58,67
37,33,25
29,29,39
26,36,35
84,79,85
94,96,99
59,56,62
26,35,34
64,56,56
58,65,59
64,64,55
49,47,53
36,39,32
88,92,91
51,43,50
56,66,56
26,31,32
53,49,55
67,61,68
100,96,86
70,85,70
56,57,66
45,55,47
51,49,44
95,88,87
35,31,29
93,97,90
55,57,64
25,28,38
52,45,44
74,85,74
43,44,49
40,36,35
88,97,99
62,56,59
98,92,92
89,89,97
84,74,73
67,58,67
100,90,89
42,47,40
70,80,78
91,86,99
89,96,91
79,80,81
94,89,92
66,58,62
85,74,85
85,89,89
55,60,58
53,42,55
34,36,29
62,61,58
84,84,80
58,69,66
31,34,38
93,89,86
40,34,40
32,29,25
99,86,95
70,64,60
40,47,45
40,54,43
85,78,76
85,81,73
54,54,51
83,79,78
40,49,45
66,61,59
57,57,62
62,68,59
91,96,88
96,93,87
60,56,61
52,53,45
82,71,84
89,89,87
99,86,96
34,35,28
71,71,81
94,90,87
55,48,50
67,60,60
44,42,53
64,64,70
98,99,91
40,35,33
81,79,78
89,85,95
81,78,77
29,36,26
42,53,50
27,35,39
90,88,88
29,30,30
55,66,55
85,73,72
58,64,60
36,27,29
52,48,48
30,25,25
47,43,45
97,92,93
52,45,44
34,27,38
83,74,79
52,50,43
29,31,40
33,28,32
29,35,38
57,64,64
94,88,89
97,98,98
38,39,39
54,55,53
65,59,66
66,62,70
50,46,45
85,76,80
26,25,38
36,33,32
32,40,32
64,59,55
70,73,70
78,72,75
44,43,46
57,67,63
79,78,77
92,92,88
45,49,47
77,74,78
64,59,64
36,29,35
35,25,30
64,59,61
91,97,96
32,26,33
25,30,25
89,99,88
38,31,38
78,81,77
95,86,85
86,96,96
30,25,31
87,96,93
56,57,68
82,77,80
33,30,26
53,55,45
65,56,64
43,51,40
87,99,98
26,25,26
33,32,25
29,28,26
53,47,44
81,79,73
99,96,99
31,40,33
30,30,38
31,35,30
84,71,73
89,98,88
36,36,29
90,89,90
55,62,69
63,61,65
48,47,54
88,90,86
31,39,37
47,50,54
66,57,55
25,38,40
60,69,66
88,89,85
77,71,79
78,80,75
78,78,81
84,72,80
78,80,81
70,68,68
42,42,46
74,79,77
76,73,85
39,30,32
86,91,89
42,49,53
55,41,53
37,29,32
93,96,95
87,99,95
91,90,94
60,57,56
97,98,87
44,44,41
65,61,61
86,99,94
77,82,76
25,30,37
25,29,34
61,59,65
36,39,33
99,92,93
100,97,90
98,87,96
64,61,61
94,93,88
63,55,67
41,50,43
68,69,65
