1.6381,3.5811
6.0319,5.7114
5.8554,6.5335
-3.891,-4.259
2.961,3.1169
3.4348,2.6922
3.05,2.8496
6.4275,6.1256
-3.5852,-3.4564
6.2088,6.4471
1.2105,1.0444
0.51944,-0.027794
-3.5736,-3.5486
2.7725,1.3709
3.114,3.1439
1.1122,-0.53726
-0.57586,0.25542
-2.2122,-2.2089
0.91595,0.92804
3.2368,4.1626
6.2987,5.4082
-3.197,-3.3502
2.6827,2.3903
2.9072,2.302
6.0619,5.7341
-3.193,-3.0769
-3.5594,-2.6543
-3.4805,-2.9349
7.0885,6.0676
0.00093595,0.93996
0.67896,0.75625
-3.4448,-2.34
5.8155,6.6208
6.6264,6.088
2.8692,2.0753
-3.7206,-1.4377
0.74802,0.47905
-0.079138,0.43786
2.8075,2.5053
0.93758,0.38451
4.2049,2.4088
6.513,5.2054
6.8203,5.5877
2.5649,2.4691
3.2934,2.9884
5.8033,7.0899
-2.116,-3.5219
0.3101,0.57854
3.6319,3.0748
0.087188,-0.56703
2.7192,2.1261
2.7078,4.2247
0.45463,0.94567
-3.5935,-2.8438
6.2349,4.9066
4.0348,2.0167
-3.1797,-1.6627
3.9891,3.7161
3.1256,2.8929
-1.6744,-1.3544
6.6678,5.5803
-3.3084,-2.7698
-4.108,-3.3049
0.36711,-0.14078
6.0249,6.8078
2.7808,1.8994
2.705,3.0701
3.8108,3.0446
-3.9393,-3.506
2.6896,3.5137
3.2629,2.8624
-2.5454,-3.9353
3.3157,2.7438
2.8722,2.6782
3.5739,2.9759
-0.10219,-0.24732
6.5495,6.7465
-2.2928,-3.1592
3.9953,1.9624
0.62061,0.086829
1.9797,3.0474
6.4657,6.5192
-2.6829,-3.2408
2.2135,3.1314
-0.26164,1.372
-3.008,-3.634
6.3449,4.7387
5.2669,5.1493
6.8959,6.1944
-3.6348,-3.396
1.0512,0.82687
-3.3544,-4.9383
0.40165,0.79814
-2.5485,-4.0629
-2.2294,-2.0973
0.55535,0.22437
-2.0294,-3.4179
3.3456,3.4267
2.9635,2.4994
-2.5796,-3.2008
